label,text
positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
positive,@VirginAmerica always!!! Xoxo
negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
neutral,@VirginAmerica is your website ever coming back online?
neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
neutral,@VirginAmerica Lister to my show my on Monday 1230 130
neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.
positive,@VirginAmerica Thank you for the follow
negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
neutral,@VirginAmerica @TTINAC11 I DM you
negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
neutral,@VirginAmerica If only you guys had flights from CMH.
negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative,@VirginAmerica you suck!
positive,@VirginAmerica thanks!
negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
positive,@VirginAmerica Keep up the great work :)
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
neutral,"@VirginAmerica it’s just a bug report, guys"
negative,@VirginAmerica hold times at call center are a bit much
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
negative,@VirginAmerica Site down? #help
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive,@VirginAmerica thanks so much!
negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
positive,@VirginAmerica Very nicely done. 👏
negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive,@VirginAmerica sounds like fun !
neutral,@virginamerica spruce moose!
negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
neutral,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
neutral,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
neutral,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
neutral,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
negative,@VirginAmerica Already checked in so the page expired :X
neutral,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
neutral,@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
positive,@VirginAmerica I see what you did there ;)
neutral,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
positive,@VirginAmerica your inflight team makes the experience #amazing!
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
positive,@VirginAmerica fav airline
positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
neutral,@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
negative,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
positive,@VirginAmerica Thank you!!
neutral,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!
neutral,@VirginAmerica I need you to follow back in order to DM.
neutral,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄
neutral,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.
negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
neutral,@VirginAmerica what is your policy on flying after surgery?
neutral,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
neutral,@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
neutral,"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application."
negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
neutral,@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA
neutral,@VirginAmerica @madbee95 check the website before you go to the airport!
positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
neutral,@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9
positive,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
neutral,@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS
positive,@VirginAmerica thank you! I absolutely will 😎
negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
neutral,@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel
negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
positive,@VirginAmerica How about some free drinks on the flight back for the free promo?
neutral,@VirginAmerica momma I made it! 😁😁😁
neutral,@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.
neutral,@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!
neutral,@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair
neutral,@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks
positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
neutral,"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd"
neutral,@VirginAmerica is my new go to airline
neutral,"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer"
positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
negative,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!"
negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
negative,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
neutral,@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21
negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
neutral,@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
neutral,@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa
positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
neutral,@VirginAmerica i would like help with some flights please.
neutral,Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”
positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
neutral,@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!
negative,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
negative,@VirginAmerica delayed to10.30!!
negative,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
negative,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
neutral,"@VirginAmerica I just did, how can I DM? Do u have to also add me?"
positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
neutral,"@VirginAmerica Anytime, sugafly."
negative,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?"
positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
positive,@VirginAmerica that doesn't look to fat to me! It looks yummy!
neutral,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE
positive,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️
positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
neutral,@VirginAmerica when are you flying to hawaii
positive,@VirginAmerica thank you
negative,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!
negative,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!
positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
neutral,"@VirginAmerica announced New Route to Austin w/fares from $39/way. 
http://t.co/gA8pbamu0C"
positive,@VirginAmerica great. Well deserved.
negative,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
negative,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
neutral,@VirginAmerica You should still develop an app - then you will be my favorite airline.
negative,@VirginAmerica all crap channels which is why I pay to watch UK tv
positive,@VirginAmerica got it. All set - Thanks!
neutral,@VirginAmerica no A's channel this year?
neutral,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
positive,@VirginAmerica Giants and Virgin America. A match made in heaven.
negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
negative,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(
neutral,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A
positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
neutral,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf"
negative,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
neutral,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?"
positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
neutral,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL)."
positive,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
positive,@VirginAmerica OMG FINALLY
neutral,@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek
